detail_id,detail_name
1,SteamVR Collectibles
2,Downloadable Content
3,Steam is learning about this software 
4,Online Co-op
5,Co-op
6,Full controller support
7,Multi-player
8,Shared/Split Screen
9,Partial Controller Support
10,Steam Workshop
11,Captions available
12,Cross-Platform Multiplayer
13,Single-player
14,MMO
15,Includes Source SDK
16,Commentary available
17,Steam is learning about this game 
18,Local Multi-Player
19,Includes level editor
20,Online Multi-Player
21,Valve Anti-Cheat enabled
22,In-App Purchases
23,Steam Turn Notifications
24,Steam Cloud
25,Steam Leaderboards
26,Local Co-op
27,Profile Features Limited 
28,Steam Achievements
29,Steam Trading Cards
30,Stats
