developer_id,developer_name
1,
2,ASA Studio
3,PolyGryph Studios
4,Delusion Arts Entertainment
5,IndieMax
6,Ripknot Systems
7,CloudWeight Studios
8,Alzan Studios
9,Cornfox & Bros.
10,Matthew Kania
11,Iron Helmet
12,Hardlight
13,Hidden Path Entertainment
14,Think Inside The Box
15,SOFTSTAR TECHNOLOGY BEIJINGCOLTD
16,Pavel Rodionov
17,WT Studio
18,Vecpoly Game
19,Ogre Head Studio
20,Spoon Network
21,Digital Crafter
22,Stanislaw Truchowski
23,Not a Number
24,CopperBrain
25,Greenolor Studio
26,Deck 13
27,Killed Pixel Games
28,Mandragora
29,IceSitruuna
30,Qooc Software
31,Seattletek
32,Rudolf Kremers & Alex May
33,Thalasse Games
34,Grizzly Wizard Games
35,Final Form Games
36,Wetgenes
37,Tommy Yoder
38,KZ42
39,Tom De Roeck
40,Gamenesis
41,Paper House
42,rondomedia GmbH
43,Smolders
44,play.HEART games
45,ThroughLine Games
46,Minor Key Games
47,Turnspender
48,GoodVole
49,Team17 Digital Ltd
50,Ink Kit
51,FENGYAPING
52,Egodystonic Studios
53,Craftven
54,Verge of Brilliance LLC
55,Thor Gaming
56,bobbyliciou5
57,Andrew Gilmour
58,Robin
59,Pixel Accountant
60,Leikir Studio
61,Black Poodle Entertainment
62,Storeen Games
63,Sogoal
64,Lab Cat games
65,Vedanta Team
66,Winter Bloom
67,tequibo
68,Claeysbrothers
69,Lazy Bear Games
70,Bae Team
71,ExtraSaucySauce
72,Cococucumber
73,Team Bondi
74,Kz Software
75,Tequila Works
76,Massive Monster
77,Artoncode™
78,NEOWIZ
79,TickTock Games
80,SnöBox Studio
81,LIKE
82,Shichifu
83,Sea Green Games
84,Colin Wren
85,2D BOY
86,RetroEpic Software
87,Sylvain Harlaut
88,Yullaby
89,Dancing Dots
90,Polarity Bear
91,INTI CREATES CO.
92,Rigid-Soft
93,Triple Tree Studio
94,Pixel Edge Games
95,Crystal Labs
96,Puuba
97,Moppin
98,NOINDEX GAMES
99,Polar Motion
100,Blaster Games Studio
101,Three Sea Rocks
102,Eteru Studio
103,Caesoose Studios
104,Future Tech Lab Co.
105,Josep Monzonis Hernandez
106,Fs studio
107,Polovey Alexander
108,Loren Lemcke
109,FeelThere
110,DAB Entertainment
111,Aquiris Game Studio
112,OnBlind
113,Creative Concepts
114,Johnny Ostad
115,Kenny Creanor
116,Gravitation Art
117,Man-Eater Games
118,EasyWays Team
119,Phoenix Online Studios
120,Steel Wool Studios
121,Numicus Studios
122,MT Worlds
123,Bloober Team SA
124,Rortos Srl
125,100 Stones Interactive
126,GammaLateral
127,GANBARION Co.
128,ALICE IN DISSONANCE
129,Slayers' Stronghold Studios
130,Sandspire Interactive
131,Mighty Rocket Studio
132,Happy Artist
133,Tripwire Interactive
134,WaxSkink
135,Adage Games
136,Polyart Inc.
137,Risin' Goat
138,FarmerGnome
139,@CarlosGameDev
140,Brandon Dominguez
141,Whootgames
142,Studio Desgraff
143,Please Be Patient
144,InterAction studios
145,Gathering Tree
146,Eridanus Studio
147,Clever Endeavour Games
148,Step Dad Productions
149,Robotality
150,Brzezinski
151,O'Stinky lab.
152,Cloak and Dagger Games
153,Void Studios
154,Mind Over Matter Studios
155,Caged Element Inc.
156,Silent Dreams
157,Kamina Dimension
158,Deco Digital
159,Jenna Blazevich
160,DimleTeam
161,Figurehead Studios
162, Commander
163,KITATUS STUDIOS
164,Eddy & Gary & Friends
165,3DClouds.it
166,Pocket Games
167,The Crow Studios
168,Seed Studio
169,Super Dead LLC
170,Victor Corradi
171,Dodge Roll
172,Gentlymad Studios
173,Dowino
174,JForce Games
175,Eko Software
176,Ruari O'Sullivan
177,Cyberlamb Studios
178,Rolling Crown
179,Bobbates LLC.
180,Parody Games
181,Anarquico
182,Dnovel
183,Kittehface Software
184,DreamForge Intertainment
185,Wube Software LTD.
186,Oldmoustache Gameworks
187,Andeolab
188,Pixel Guy
189,Supertype
190,Spiderweb Software
191,Capcom
192,Drool
193,radiostatic
