game_id,language_id
379720,21
379720,26
379720,8
379720,4
379720,20
379720,19
379720,9
379720,22
379720,28
379720,12
637090,21
637090,26
637090,4
637090,28
477160,21
477160,26
477160,4
477160,20
477160,28
477160,8
477160,13
477160,19
477160,30
477160,9
477160,15
477160,22
477160,11
477160,10
477160,17
644930,21
644930,20
644930,26
644930,4
644930,19
644930,30
644930,9
644930,22
644930,28
644930,13
644930,12
644930,8
527230,21
527230,26
527230,8
527230,4
527230,20
527230,22
527230,28
527230,13
527230,12
527230,9
527230,19
527230,30
567640,21
567640,26
567640,19
567640,13
567640,12
597170,21
899440,21
899440,19
899440,26
899440,8
899440,4
899440,20
899440,30
899440,22
899440,28
899440,24
899440,12
459220,21
459220,26
459220,8
459220,4
459220,20
459220,27
459220,3
459220,19
459220,30
459220,9
459220,28
459220,12
787480,21
787480,19
785260,21
785260,26
785260,8
785260,4
785260,20
785260,19
785260,30
785260,9
785260,28
785260,12
475150,21
475150,26
475150,8
475150,4
475150,20
475150,27
475150,9
475150,28
475150,19
475150,30
475150,13
475150,17
400,21
400,26
400,4
400,28
400,14
400,25
400,5
400,8
400,19
400,1
400,9
400,15
400,13
400,20
400,29
400,12
400,30
246900,21
589360,21
589360,26
589360,8
589360,4
589360,20
589360,19
589360,28
413420,21
413420,19
413420,12
641990,21
641990,26
641990,4
641990,20
641990,28
641990,13
641990,8
102500,21
102500,26
102500,4
102500,8
102500,20
56437,21
56437,26
56437,4
56437,8
56437,27
56437,9
56437,28
56437,12
1038810,21
1038810,19
1038810,12
268050,21
268050,26
268050,8
268050,4
268050,20
268050,9
268050,28
614570,21
614570,26
614570,8
614570,4
614570,20
614570,19
614570,9
614570,28
614570,22
614570,12
310950,21
310950,26
310950,8
310950,4
310950,20
310950,18
310950,19
310950,30
310950,9
310950,22
310950,28
310950,13
310950,12
397460,21
270150,21
270150,26
270150,4
270150,20
270150,9
270150,15
270150,8
270150,13
270150,22
270150,28
270150,30
270150,24
410900,21
410900,26
410900,4
410900,20
410900,28
410900,8
410900,19
410900,30
410900,9
410900,15
410900,22
410900,13
410900,10
410900,3
799640,21
799640,12
799640,13
291650,21
291650,26
291650,8
291650,4
291650,20
291650,28
291650,9
466560,21
466560,26
466560,4
466560,28
466560,13
466560,22
466560,9
466560,20
466560,10
285900,21
285900,26
285900,8
285900,4
285900,20
285900,22
738540,21
738540,26
738540,8
738540,4
738540,20
738540,19
738540,30
738540,28
738540,12
738540,22
738540,24
359870,21
359870,26
359870,8
359870,4
359870,20
359870,19
359870,30
359870,12
204360,21
204360,4
204360,26
204360,8
204360,30
204360,20
204360,13
204360,12
204360,19
204360,15
204360,28
675010,21
675010,26
675010,8
675010,4
675010,20
675010,9
675010,22
675010,28
675010,13
341800,21
341800,19
1018020,21
1018020,19
225540,21
225540,26
225540,8
225540,4
225540,20
225540,18
225540,9
225540,22
225540,28
225540,19
8870,21
8870,26
8870,4
8870,8
8870,20
8870,9
8870,22
8870,28
8870,19
8870,30
8870,12
244450,21
244450,4
244450,28
244450,26
244450,8
244450,20
244450,9
816020,21
816020,26
816020,8
816020,4
816020,20
816020,18
816020,19
816020,30
816020,9
816020,22
816020,28
816020,13
816020,24
816020,11
816020,12
287700,21
287700,26
287700,8
287700,4
287700,20
287700,19
287700,22
287700,28
389730,21
389730,26
389730,8
389730,4
389730,20
389730,18
389730,19
389730,30
389730,22
389730,28
389730,12
571740,21
571740,4
571740,20
571740,19
571740,28
571740,27
571740,26
571740,30
571740,29
678950,21
678950,26
678950,8
678950,4
678950,20
678950,19
678950,30
678950,9
678950,22
678950,28
678950,13
678950,12
678950,24
454650,21
454650,26
454650,8
454650,4
454650,20
454650,9
454650,22
454650,28
454650,19
454650,12
454650,30
454650,13
323190,21
323190,26
323190,4
323190,20
323190,9
323190,28
323190,13
323190,22
323190,10
323190,8
323190,19
323190,30
288470,21
288470,26
288470,8
288470,4
288470,20
288470,19
288470,30
288470,22
288470,28
288470,12
257350,21
257350,4
257350,20
257350,8
257350,30
257350,9
257350,13
257350,28
621060,21
621060,26
621060,4
621060,19
621060,22
621060,28
621060,13
621060,20
621060,30
365360,21
378540,21
378540,26
378540,8
378540,4
378540,20
378540,9
378540,22
378540,28
378540,30
378540,13
378540,19
712100,21
712100,26
712100,8
712100,4
712100,20
712100,27
712100,30
712100,9
712100,22
712100,28
712100,13
712100,12
712100,10
453090,21
453090,4
453090,25
453090,26
453090,28
453090,13
453090,30
727130,21
727130,20
326460,21
326460,26
326460,8
326460,4
326460,20
326460,9
326460,22
326460,28
326460,13
326460,10
326460,17
289130,21
289130,26
289130,4
289130,9
289130,28
289130,8
289130,20
690790,21
690790,26
690790,8
690790,4
690790,20
690790,9
690790,22
690790,19
601050,21
601050,19
601050,30
601050,12
601050,26
601050,8
601050,4
601050,20
601050,24
582160,21
582160,26
582160,8
582160,4
582160,20
582160,18
582160,27
582160,25
582160,19
582160,30
582160,9
582160,22
582160,28
582160,13
582160,12
817130,21
817130,26
817130,8
817130,4
817130,20
817130,18
367500,21
