popular_tag_id,popular_tag_name
1,Puzzle-Platformer
2,Character Customization
3,LEGO
4,Steam Machine
5,Minigames
6,Point & Click
7,World War I
8,1990's
9,Crime
10,Programming
11,Building
12,Experience
13,Action-Adventure
14,4 Player Local
15,Clicker
16,Fighting
17,Alternate History
18,Co-op
19,Choices Matter
20,Tutorial
21,Based On A Novel
22,RTS
23,VR
24,Stealth
25,Local Co-Op
26,Hardware
27,Superhero
28,Games Workshop
29,Competitive
30,Addictive
31,Soundtrack
32,Heist
33,Tanks
34,Sailing
35,Pixel Graphics
36,Platformer
37,Parody
38,Hex Grid
39,Third Person
40,Dating Sim
41,Beat 'em up
42,Lemmings
43,Skating
44,Gun Customization
45,Werewolves
46,Moddable
47,Gambling
48,Star Wars
49,Nudity
50,Dark Fantasy
51,Software Training
52,Medieval
53,Exploration
54,Mechs
55,Experimental
56,Cartoony
57,Survival
58,Pinball
59,Board Game
60,Cycling
61,ATV
62,Faith
63,Touch-Friendly
64,Dinosaurs
65,PvP
66,Pirates
67,Grand Strategy
68,Time Manipulation
69,Multiple Endings
70,Offroad
71,Dystopian
72,Underwater
73,Automation
74,Space
75,Music
76,Cats
77,Soccer
78,Artificial Intelligence
79,Web Publishing
80,Puzzle
81,Diplomacy
82,Turn-Based
83,Hidden Object
84,Strategy
85,Cyberpunk
86,Bowling
87,Mystery
88,Military
89,Class-Based
90,Party-Based RPG
91,Kickstarter
92,Otome
93,NSFW
94,6DOF
95,Dungeons & Dragons
96,Action
97,Mars
98,Steampunk
99,Trading Card Game
100,Turn-Based Strategy
101,Mouse only
102,Cult Classic
103,Strategy RPG
104,Mining
105,CRPG
106,Multiplayer
107,RPGMaker
108,Dark Comedy
109,Physics
110,Co-op Campaign
111,Emotional
112,2D Fighter
113,Mystery Dungeon
114,Old School
115,Linear
116,Drama
117,Politics
118,Skateboarding
119,Survival Horror
120,Horses
121,Zombies
122,Arcade
123,Realistic
124,Match 3
125,God Game
126,Destruction
127,1980s
128,Real-Time
129,3D
130,Runner
131,Spelling
132,Post-apocalyptic
133,Sequel
134,Chess
135,Interactive Fiction
