publisher_id,publisher_name
1,Brewmasters
2,NinjaBee.com
3,Atriagames
4,Stellar Jay Studios
5,Happy Pony Land
6,Mayflower Entertainment [KR]
7,Tlakali Game Studio
8,Stygian Software
9,Reality Smash
10,Gamepopper
11,Adventure Productions
12,Party for Introverts
13,Square Gem Software
14,BioDynamic Games
15,Master Plan Multimedia LLC
16,Nest Egg Games
17,Chaosoft Games
18,RobProductions
19,82 Apps
20,Leyline Studios
21,BEHEMUTT
22,purol
23,ANIM•ACE
24,DreamDale
25,Studio Evil
26,Clarus Victoria
27,Tanukitsune
28,SeungWoonS
29,Zoxide Games
30,Juvty Worlds Ltd.
31,Acttil
32,Argent Games
33,SpoNk
34,Hollow Ponds
35,Vertical Skull Games
36,Dnovel
37,Not Chicken Games
38,Mudpike
39,Silver Sphere Studios
40,Naiad Entertainment LLC
41,BigGame
42,devotid Media
43,What The Fantastic Games Group
44,Tolga Yurtsev
45,Devil's Dozen Games
46,SypherZent
47,40 Pound Tiger Studios
48,Holy Potato Studios
49,W. T. B.
50,Yu Chao
51,Gabriele Barone
52,Reglest5 Games
53,Pixel Horror Studios
54,Green Moss Game
55,FIREBEAST
56,Goatee Games
57,JoyBits Ltd.
58,Cloudhead Games ltd.
59,Game Trust 
60,Artifice Studio
61,Green Dinosaur Games
62,KarjaSoft
63,Radio 13 Games
64,Studio F#
65,Ian D. Martin
66,ALEKSANDER CHEPAIKIN
67,SiBear Games
68,Zever Games
69,Krobin Games
70,Arnold Rauers
71,CI Games
72,Quantum Productions
73,Concepts
74,alexnown
75,Zanrai Interactive
76,OXYGENE MEDIA
77,Vulture Strike
78,Yarne Games
79,BXTT studio
80,Hello Games
81,Petroglyph
82,Sleepy Spider Studios
83,Hammer Games
84,Schmidt Workshops
85,VaragtP
86,Eko Software
87,Parabole
88,eduweb
89,Kekitopu
90,N94Games
91,Chasing Carrots
92,Zero Gravity
93,Unknown Worlds Entertainment
94,Ricoshot Games
95,Dovetail Games - Fishing
96,Petushock Production
97,PixelBot Games
98,Zombie Studios
99,Stickmen Studios
100,Brad Smith
101,Eridanus Studio
102,Sky Trail Ltd
103,Boomzap Entertainment
104,Mega Crit Games
105,Blooming Buds Studio
106,Snapjaw Games GmbH
107,Pixel Wizards
108,Zeenoh Inc.
109,Gaijin Entertainment Corporation
110,GrabTheGames
111,FromSoftware
112,Polygon Art
113,Chris Folea
114,Diagrammet AB
115,invwindy
116,Ice World
117,Schell Games
118,Nidal alshawwaf
119,Alliance
120,Cybertron Design Studios
121,Liam Doherty
122,HexWar Games
123,Dandylion
124,Armatur Games
125,Sergey Shushunov
126,Kazakov Oleg
127,UTV Ignition Entertainment
128,Yullaby
129,Three Frog Studios
130,MAGES. Inc.
131,Waz Games
132,Serious Games Interactive
133,AxiPLAY
134,Knightmare Games
135,岡本3海苔
136,Fishbowl Interactive
137,Black Tower Entertainment
138, Inc
139,Heroic Games Studio
140,WaxSkink
141,Bigzur Games
142,Next Friday Interactive
143,Super Duper Game Company
144,Texel Raptor
145,Matt Glanville
146,Comrex AG
147,JacyGames
148,CRAFT
149,Rymdfall AB
150,Top Meadow
151,ANPA.US
152,Pippala Games
153,Legend Studio
154,Madorium
155,Studio Eris
156,INTRAGAMES CO.
157,Lost in the Garden
158,Humdrum Software LLC
159,Evan Wagstaff
160,Slam
161,FUN Creators
162,Orangepixel
163,Masterstrike
164,Massive Damage
165,Flat Voxel
166,Last Dimension
167,The Secret Games Company
168,Gamestone Studio
169,Gunnevik
170,SFS Studios
171,Jumpmen Gaming
172,Phosphor Games
173,McPoyLE Games
174,Amazu Media
175,icefill
176,Fourfold Games
177,Magnolia Art
178,Immersed Games
179,Nick Helweg
180,Mattrified Games
181,16air
182,Indovers Studio
183,Orthogonal Games
184,N-Tri Studio
185,Sakura River Interactive
186,Tomasz Chmura
187,QIPAWORLD
188, Inertia Game Studios
189,Smelter
190,Mosaique Games
191,Mixed Realms Pte Ltd
192,Isaac Nichols
193,Alien Jellyfish
194,Machine 22
195,Slugsoft
196,playchocolate
197,Matouš Lörinc
198,Devdan Games
199,Christian Hamm
200,Alexandr Bondarenko
201,morojenoe's empire
202,zoocros
203,GalactaVision
204,James Id
205,Carbon Games
206,轻文
207,ZaxtorGameS
208,Creative Bytes Studios
209,redsungames
210,Plug In Digital
211,BlockheadGames
212,ATOMIC BREATH
213,StavroGames
214,4 Door Lemon Vision 1
215,SeeThrough Studios
216,CJH Labs
217,Candlelight Studios
218,Fazz Brothers
219,Kiss Publishing Ltd
220,ColossusArc Entertainment
221,2dengine
222,Red Abyss Software
223,Pixeljam
224,Pal Diaray
225,Baggy Cat
226,Happion Labs
227,OddBird
228,HideChara
229,Monkey Stories
230,Magnetic Studio
231,Julian Edison
232,tengenstudio
233,Green127
234,Eduardo Barreto
235,Stegalosaurus Game Development
236,WarGirl Games
237,petraguardsoftware.com
238,Lucid Dreams VR
239,wefiends
240,Falling Star Studio
241,Ultra Runaway Games
242,Grimwood Team
243,Front Range Software
244,Cat Nigiri
245,EasyVisual
246,Hammerson Games
247,Payload Studios
248,Erichermit
249,Ian Slattery
250,Studios iLLOGIKA
251,Reverb Triple XP
252,Geek Sloth Games
253,Software Wolf
254,Score Studios LLC
255,Medicated Games
256,Epic Tavern Holdings
257,Ripstone
258,MonkeyToons
259,All Civilized Planets
260,DimSumOneStudio
261,Atarei
262,Sleepy Red Panda Studio
263,LIKE
264,Riveted Games
265,Black Jacket Studios
266,maddma
267,Playbrains
268,Appliks Apps Studios
269,Miller Tinkerhess
270,Flying Cafe for Semianimals
271,John Szymanski
272,Albireo Games
273,Acid Wizard Studio
274,AL Games
275,JoyMasher
276,Neuronality
277,Dreamlike Arts Games
278,WIDStudio
279,Ripped Wizards
280,FUZZYEYES
281,EasyGames
282,MAGIC Spell Studios
283,Dreel
284,Kaia Studios
285,Codemasters
286,Beep Games
287,Kc games
288,Presto Studios
289,Gearbox Publishing
290,Lazy Monday Ltd
291,Trapped Nerve Games
292,Daybreak Game Company
293,Ocumens LLC
294,Black Dragon Studio
295,Instant Kingdom
296,D4 Laboratory
297,ThiefCat
298,360 Evolve VR Pty Ltd
299,PSY LABS
300,Kitty Cattus
301,Zillion Whales
302,QuickSave
303,PestoForce
304,Anvate Games
305,Nitro Games
306,Hemisphere Games
307,Portal Studios
308,Tiny Warrior Games
309,Blue Potion Games
310,NinjaRabbitStudio
311,TB Games
312,Drool
313,Boss Baddie
314,Polyslash
315,Bmc Studio
316,Studio Goya
317,Eross Video Games
